Post ID,URL to tweet,creation_date,likes,caption,retweet_count,comment_count,view_count,poster_handle,poster_display_name,poster_follower_count,poster_frequency,total_posts,hashtags,image_filename,comment_file
1828837775791341997,https://x.com/JimmyMatthewsJr/status/1828837775791341997,Wed Aug 28 16:51:18 +0000 2024,29,#TrumpIsUnfitForOffice #ArlingtonNationalCemetery https://t.co/z149gs015v,18,5,1793,JimmyMatthewsJr,Jimmy Matthews,2613,5.376404494382022,30624,"#TrumpIsUnfitForOffice, #ArlingtonNationalCemetery",twitter_media/JimmyMatthewsJr_2024-08-28-16-51-18_0.jpg,comments\JimmyMatthewsJr--18_comments.csv
1828607916892422511,https://x.com/JimmyMatthewsJr/status/1828607916892422511,Wed Aug 28 01:37:55 +0000 2024,21,@thedesertginger I would not be surprised if he did this before he left. #TrumpIsUnfitForOffice https://t.co/spBZTUv3Ug,5,1,863,JimmyMatthewsJr,Jimmy Matthews,2613,5.376404494382022,30624,#TrumpIsUnfitForOffice,twitter_media/JimmyMatthewsJr_2024-08-28-01-37-55_0.jpg,comments\JimmyMatthewsJr--977_comments.csv
1826979750856049026,https://x.com/TheVladsven/status/1826979750856049026,Fri Aug 23 13:48:10 +0000 2024,1,"Respect marriage.  Donald Trump and Where's Melania always show what a perfect marriage looks like.  Bret Baier, Bill Barr, Ann Coulter, and RFK Jr. all agree 100%.  With everything Trump says, no matter what. 🇺🇸 #TrumpIsDone #KamalaHarris #Kamala4President2024 #TheCrow📷 https://t.co/8X0BBHE5Bc",2,2,1108,TheVladsven,Darth VladSven the Cat VI,955,26.451581027667984,26769,"#TrumpIsDone, #KamalaHarris, #Kamala4President2024, #TheCrow📷",twitter_media/TheVladsven_2024-08-23-13-48-10_0.jpg,comments\TheVladsven--544_comments.csv
1822071851960692972,https://x.com/TheVladsven/status/1822071851960692972,Sat Aug 10 00:45:56 +0000 2024,19,Pray for Trump.  He longs for North Korea and his tub buddy. 🇺🇸#trumpmeltdown #trumprally #Kamala2024 https://t.co/8erDIpITBK,3,4,3808,TheVladsven,Darth VladSven the Cat VI,955,26.451581027667984,26769,"#trumprally, #Kamala2024",twitter_media/TheVladsven_2024-08-10-00-45-56_0.jpg,comments\TheVladsven--919_comments.csv
1822069995565883579,https://x.com/TheVladsven/status/1822069995565883579,Sat Aug 10 00:38:34 +0000 2024,8,Pray for Trump. He joined Hamas.   🇺🇸#trumpmeltdown #trumprally #Kamala2024 https://t.co/BujXKOwr0w,2,2,2869,TheVladsven,Darth VladSven the Cat VI,955,26.451581027667984,26769,"#trumprally, #Kamala2024",twitter_media/TheVladsven_2024-08-10-00-38-34_0.jpg,comments\TheVladsven--125_comments.csv
1638266286307172353,https://x.com/Free_Media_Hub/status/1638266286307172353,Tue Mar 21 19:48:14 +0000 2023,229,Breaking News Trump has been arrested after a brief struggle with Police reports say images courtesy of Rooters https://t.co/QINQ2CQRqu,49,47,24830,Free_Media_Hub,Free Syria Media Hub,234915,166.88539325842697,816904,,twitter_media/Free_Media_Hub_2023-03-21-19-48-14_3.jpg,comments\Free_Media_Hub--47_comments.csv
1828212669670629624,https://x.com/Bloomer99999/status/1828212669670629624,Mon Aug 26 23:27:21 +0000 2024,2,#KamalaWinswithJoy https://t.co/k5dnunB1zQ,0,0,58,Bloomer99999,Nabster 💙🇺🇸🦅🇺🇸💙,5168,63.658373205741626,66523,#KamalaWinswithJoy,twitter_media/Bloomer99999_2024-08-26-23-27-21_0.jpg,comments\Bloomer99999--518_comments.csv
1828060378711945505,https://x.com/EmilyMach5/status/1828060378711945505,Mon Aug 26 13:22:12 +0000 2024,17,"@VetsForRL Trump has used everyone around him for his personal gains. Values, Purpose, Sacrifice mean nothing to him.   #TrumpIsUnfitForOffice #VeteransForHarrisWalz #Vete https://t.co/piKv0abfMV",11,3,898,EmilyMach5,Emily Mach,397,1.938092229943146,3068,"#TrumpIsUnfitForOffice, #VeteransForHarrisWalz, #Vete",twitter_media/EmilyMach5_2024-08-26-13-22-12_0.jpg,comments\EmilyMach5--842_comments.csv
1813345368484073626,https://x.com/ScottWIsAnIdiot/status/1813345368484073626,Tue Jul 16 22:50:00 +0000 2024,10,@ZionDarkwood @SteveLovesAmmo https://t.co/rJudoNi0lG,5,6,9438,ScottWIsAnIdiot,Scott Walker is An Idiot,2476,14.871070433744528,37371,,twitter_media/ScottWIsAnIdiot_2024-07-16-22-50-00_0.jpg,comments\ScottWIsAnIdiot--761_comments.csv
1829862469894058286,https://x.com/EmilyMach5/status/1829862469894058286,Sat Aug 31 12:43:04 +0000 2024,54,@SteveSchmidtSES #TrumpDishonorsUS #TrumpIsUnfitForOffice   Let's bury the guy with our votes this November. https://t.co/xnb5hyMA3C,10,1,1216,EmilyMach5,Emily Mach,397,1.938092229943146,3068,"#TrumpDishonorsUS, #TrumpIsUnfitForOffice",twitter_media/EmilyMach5_2024-08-31-12-43-04_0.jpg,comments\EmilyMach5--580_comments.csv
1823835478480605640,https://x.com/acnewsitics/status/1823835478480605640,Wed Aug 14 21:33:57 +0000 2024,56668,Cop vs the felon. 😂 https://t.co/LfXb1J7bBA,7448,1546,1981822,acnewsitics,Alex Cole,283007,18.04985754985755,38013,,twitter_media/acnewsitics_2024-08-14-21-33-57_0.jpg,comments\acnewsitics--694_comments.csv
1827905146027999298,https://x.com/jimmythemole001/status/1827905146027999298,Mon Aug 26 03:05:22 +0000 2024,16,Don’t vote for #CommieKamala! #MAGA https://t.co/uggwCXO4yD,6,5,280,jimmythemole001,"Michael P Ward, DO, Col, USAF (ret)",2334,101.29385474860337,90658,"#CommieKamala!, #MAGA",twitter_media/jimmythemole001_2024-08-26-03-05-22_0.jpg,comments\jimmythemole001--176_comments.csv
1828540317076988258,https://x.com/trumpsolanacoin/status/1828540317076988258,Tue Aug 27 21:09:18 +0000 2024,11,I heard she might be boarding on the #TrumpTrain ? 🤔   What are your thoughts on?  🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  $TRUMP for President. #Trump #Swifties4Trump #Trump2024 #UnityParty #MAGA #MAHA https://t.co/hv5s4mEII0,23,1,375,trumpsolanacoin,$TRUMP,4565,2.3257142857142856,2442,"#TrumpTrain, #Trump, #Swifties4Trump, #Trump2024, #UnityParty, #MAGA, #MAHA",twitter_media/trumpsolanacoin_2024-08-27-21-09-18_0.jpg,comments\trumpsolanacoin--531_comments.csv
1755385693151379739,https://x.com/Geo_Is_Pissed/status/1755385693151379739,Thu Feb 08 00:18:57 +0000 2024,4859,RT if you agree: To all you #MAGA praising #TuckerCarlson's interview of American Enemy Russian Dictator Putin need to get the actual fuck out of this country and go live with Putin.   We won't fucking miss you one bit. https://t.co/LVBTl3sai4,1870,3945,253095,Geo_Is_Pissed,🇺🇸 Geo Is Still Pissed 🥥🌴🇺🇸🌊🌈🏳️‍⚧️🌎🐾🗳,38379,15.715183509301156,62515,"#MAGA, #TuckerCarlson's",twitter_media/Geo_Is_Pissed_2024-02-08-00-18-57_0.jpg,comments\Geo_Is_Pissed--147_comments.csv
1835892011993543079,https://x.com/TrueZouse/status/1835892011993543079,Tue Sep 17 04:02:19 +0000 2024,11,"When America’s Hitler is trending, why you know its  #Trump https://t.co/byobAnzAOd",1,13,1903,TrueZouse,DocumentAmerica💙🌊🇺🇸🗽Amplifying Blue Voices,380,7.028459273797841,7162,#Trump,twitter_media/TrueZouse_2024-09-17-04-02-19_0.jpg,comments\TrueZouse--196_comments.csv
1837809782125662425,https://x.com/BraidedImag6/status/1837809782125662425,Sun Sep 22 11:02:51 +0000 2024,36,#TrumpIsACoward #TrumpIsAChicken #ChickenTrump #ChickenDon https://t.co/m76CfkgPOV,15,6,2239,BraidedImag6,The REAL BraidedImagination6,7022,5.526227444397818,26338,"#TrumpIsACoward, #TrumpIsAChicken, #ChickenTrump, #ChickenDon",twitter_media/BraidedImag6_2024-09-22-11-02-51_0.jpg,comments\BraidedImag6--2_comments.csv
1830657112231592314,https://x.com/ChuckCallesto/status/1830657112231592314,Mon Sep 02 17:20:42 +0000 2024,1172,@elonmusk Coming to America under a Harris regime! https://t.co/CfQEXzLglG,191,101,69406,ChuckCallesto,Chuck Callesto,846253,23.96586282492953,76523,,twitter_media/ChuckCallesto_2024-09-02-17-20-42_0.png,comments\ChuckCallesto--982_comments.csv
